NAMA,HARGA,LOKASI,LUAS_TANAH,LUAS_BANGUNAN,KAMAR_TIDUR,KAMAR_MANDI,SERTIFIKAT,DAYA_LISTRIK,GARASI,JUMLAH_LANTAI,DESKRIPSI,HARGA_NUMERIC,LUAS_TANAH_NUMERIC,LUAS_BANGUNAN_NUMERIC,KAMAR_TIDUR_NUMERIC,KAMAR_MANDI_NUMERIC
Jual Rumah Kbp Lokacitra Kota Baru Parahyangan dengan Kolam Renang,"Rp 3,4 Miliar","Kota Baru Parahyangan, Bandung",162 m²,215 m²,5.0,3.0,SHM,4400 Watt,,2.0,"*Jual Rumah KBP* Kota Baru Parahyangan Tatar Lokacitra  Lt:162 m2 Lb:-+ 215 m2 Kt: 5 Km: 3 Ada kolam renang indoor  *3,4M*  phi",34000000000.0,162.0,215.0,5.0,3.0
"Rumah Terawat Semi Furnished di Tatar Wangsakerta, Kbp - Kota Baru Parahyangan","Rp 2,8 Miliar","Kota Baru Parahyangan, Bandung",162 m²,125 m²,3.0,2.0,SHM,3500 Watt,,2.0,"Rumah dalam kondisi terawat, sudah direnovasi, dan siap huni. Berlokasi di kawasan Tatar Wangsakerta, Kota Baru Parahyangan, salah satu kawasan hunian yang tertata rapi dan nyaman.  Spesifikasi: - Luas Tanah: 162 m² - Luas Bangunan: 125 m² - Kamar Tidur: 3 + 1 - Kamar Mandi: 2 + 1 - Daya Listrik: 3500 Watt - Sertifikat Hak Milik (SHM) - Carport  Fasilitas Tambahan: ' Sudah direnovasi ' Dilengkapi 4 unit AC ' 2 water heater ' Mebel dapur ' Sofa ' Tempat tidur ' Lemari pakaian ' Meja kerja ' Partisi ruangan  Keterangan: Saat ini properti sedang disewa hingga November 2025  Harga: Rp 2,8 Miliar  More details, Nuy Telp/Whatsapp 0878xxxxxxxx  AG",28000000000.0,162.0,125.0,3.0,2.0
Rumah Mewah Termurah American Classic di Gegerkalong Setiabudi,"Rp 4,2 Miliar","Geger Kalong, Bandung",510 m²,430 m²,4.0,4.0,SHM,4400 Watt,1.0,2.0,"Rumah 2 lantai di Geger Kalong, Bandung.  Dijual rumah di wilayah yang nyaman dengan pemandangan pegunungan. Properti 2 lantai bergaya american classic ini berada di lingkungan perumahan/komplek.  Rinciannya adalah sebagai berikut:    - Kamar Tidur: 4   - Kamar Mandi: 4   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 4400 W   - Hadap: Timur   - Kondisi Perabotan: Semi Furnished  Tentunya properti ini layak untuk anda dapatkan karena:    - Siap Huni.   - Bebas Banjir.   - Lingkungan Islami.   - Cocok Untuk Investasi.  Properti ini telah lengkap dengan fasilitas:    - Keamanan 24 jam.   - Tempat Jemuran.   - Taman.   - Tempat Jemuran.   - Taman.  Lokasi rumah berikut strategis, hanya selangkah menuju berbagai fasilitas utama dan menarik.  Hanya Rp. 4.200.000.xxx, anda bisa langsung dapatkan rumah terbaik di daerah Geger Kalong ini.",42000000000.0,510.0,430.0,4.0,4.0
Rumah Siap Huni 2 Lantai di Tatar Simakirana Kbp Posisi Exclusive,"Rp 2,3 Miliar","Kota Baru Parahyangan, Bandung",120 m²,92 m²,3.0,2.0,HGB,Lainnya,,2.0,"Dijual Rumah Minimalis di Tatar Simakirana Kota Baru Parahyangan - Luas Tanah : 120 m2 - Luas Bangunan : -/+ 92 m2 - 2 Lantai - Lebar Muka : 8 m - Kamar Tidur : 3 - Kamar Mandi : 2 - Air Artesis - HGB - Hadap Selatan  Harga : 2,3 M (Nego)  More details, Nuy Discovery Property Telp/Whatsapp 0878xxxxxxxx  HS-AH",23000000000.0,120.0,92.0,3.0,2.0
Rumah Murah Bebas Banjir Dekat Gt Buah Batu Stt Telkom dan Podomoro Park,Rp 285 Juta,"Terusan Buah Batu, Bandung",60 m²,36 m²,2.0,1.0,SHM,Lainnya,1.0,1.0,Pondasi batu kali  besi 10 full  bata merah press  genteng morando  rangka atap kayu  kusen pintu manglid  lantai granit 60x60  carport keramik 50x50  air sumur bor  listrik token 1300 wat,285000000.0,60.0,36.0,2.0,1.0
"Rumah Mewah Design Villa Bali, Dg Kolam Renang",Rp 8 Miliar,"Rancasari, Bandung",415 m²,400 m²,7.0,5.0,SHM,Lainnya,,2.0,Keterangan rumah :  Designed by : Emporio Architect  LT/LB = 405/400 Bangunan 2 Lantai + Rooftop Kusen n pintu2 kayu bengkirai oven Kusen2 jendela luar UPVC kedap suara R Tamu 1 R Keluarga 2 Kamar Utama 1( KM dalam) Kamar anak 3 (KM dalam) Kamar Tamu 1 Kamar pembantu 2 Kamar/ruang kucing 1 WIC 1 KM 6 Dapur basah Dapur bersih/kering Full furnish (informa) Interior (Abadi Jaya) Lantai utama Marmer Kamar Mandi utama marmer Lantai lain Granit tile Valentino gress Cat tembok premium Jotun Daya Listrik 16.000 kwH Solar Cell 10.000 kw (Listrik gratis) Air PDAM Kolam renang 1 (10x4) Musholla 1 Gudang 2 Water heater sentral CCTV 12 titik Kamera Internet Indihome,8000000000.0,415.0,400.0,7.0,5.0
Rumah Baru Buah Batu Dekat Stt Telkom Bandung Selatan,Rp 630 Juta,"Terusan Buah Batu, Bandung",72 m²,36 m²,2.0,1.0,HGB,2200 Watt,,1.0,"Rumah Baru Buah Batu Dekat stt Telkom Bandung Selatan L. Bangunan 36m L. Tanah 72m K. Tidur 2 & K. Mandi 1 Bangunan Baru Carport 1 Lingkungan nyaman dan Bangunan Berkualitas Fasilitas perumahan : Mesjid & Onegate system keamanan 24jam   Promo : DP 0% Free Biaya Pajak Pembeli & Free Biaya Notaris  Bonus Canopy,Torn,Pompa  Strategis Dekat akses Jalan Raya Terusan Buah Batu, dekat Tol Buah Batu Bandung & STT Telkom Bandung   Harga 630jt  Minat? Hubungi : Fisti 0812xxxxxxxx",630000000.0,72.0,36.0,2.0,1.0
"Rumah Murah Aset Bank Syariah Nasional di Arcamanik, Kota Bandung",Rp 650 Juta,"Arcamanik, Bandung",100 m²,73 m²,3.0,2.0,SHM,Lainnya,,2.0,,650000000.0,100.0,73.0,3.0,2.0
"Rumah Murah Aset Bank Syariah Nasional di Bandung, Cileunyi Kab.bandung",Rp 875 Juta,"Cileunyi, Bandung",90 m²,100 m²,3.0,2.0,SHM,Lainnya,,2.0,,875000000.0,90.0,100.0,3.0,2.0
Rumah Siap Huni,Rp 10 Miliar,"Singgasana, Bandung",275 m²,314 m²,6.0,4.0,SHM,Lainnya,2.0,2.0,"JUAL CEPAT RUMAH SINGGASANA PRADANA BANDUNG   LT. 275 m2 LB. 314 m2 2 lantai + dak torrn LEBAD MUKA 10,6 M SHGB Hadap Barat K. TIDUR : 4+2 (kmr mandi utama full marmer import, bathtube & kualitas premium) K. MANDI : 3+1 Listrik 10.000 watt Air sumur bor Taman depan belakang include furniture BUILT IN (kitchen set 2 set dan wardrobe 2 kamar) Kamar full parket, lantai full marmer Kolam ikan koi  LUX  HARGA 10 M (NEGO)  MIRA - WIJAYA PROPERTY 0896xxxxxxxx",10000000000.0,275.0,314.0,6.0,4.0
Jual Cepat! Rumah 1 Lantai Hunian Nyaman & Aman Cangkuang Bandung,Rp 625 Juta,"Cangkuang, Bandung",90 m²,60 m²,3.0,1.0,SHM,1300 Watt,,1.0,"Rumah 1 lantai di Cangkuang, Bandung. Lokasi strategis deket ke Soreang,  Katapang,  Pacet, kec Banjaran  Dijual rumah di wilayah yang tenang dengan pemandangan permukiman warga. Properti 1 lantai bergaya minimalis ini berada di lingkungan yang mudah dijangkau.  Kategorinya adalah sebagai berikut:    - Kamar Tidur: 3   - Kamar Mandi: 1   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 1300 W   - Hadap: Selatan   - Kondisi Perabotan: Unfurnished  Tentunya properti ini layak untuk anda dapatkan karena:    - Bisa KPR.   - Over Kredit.   - Take Over.   - Bebas Banjir.   - Lingkungan Islami.   - Dekat Fasilitas Kesehatan.   - Dekat Tempat Ibadah.   - Dekat Akses Tol.  Properti ini telah lengkap dengan fasilitas:    - Wastafel.   - Kitchen Set.   - Pemanas Air.   - Keamanan 24 jam.   - Masjid.   - Tempat Laundry.   - Tempat Jemuran.   - Tempat Jemuran.  Rumah terawat, bebas banjir dan sudah direnovasi dari bentuk awalnya (jadi 3 kamar tidur, ada kitchen set, ada shower set, ada toren, water heater dan pompa pendorong), listrik 1300, air PDAM bersih+deras, 7 menit dari Gerbang Tol Soreang, 5 menit dari RSUD Soreang, dijual karena ditinggal tugas dinas ke luar kota bertahun tahun, bisa cash keras ato KPR take over ya.. Apabila berminat dan mau tanya2 dulu, boleh silakan DM saja, terimakasih",625000000.0,90.0,60.0,3.0,1.0
Dijual Rumah Luas dan Nyaman di Margahayu Bandung,"Rp 1,4 Miliar","Margahayu, Bandung",159 m²,186 m²,3.0,4.0,SHM,2200 Watt,,1.0,"DIJUAL RUMAH DI MARGAHAYU RAYA  Hunian nyaman dengan bangunan luas di kawasan Margahayu Raya. Cocok untuk keluarga yang membutuhkan ruang lebih lega dengan lingkungan yang sudah ramai dan akses mudah ke berbagai fasilitas kota.  Spesifikasi: LT 159 m² LB 186 m² 1 Lantai 3 Kamar Tidur 4 Kamar Mandi Listrik 2200 Watt Garasi 1 Mobil Hadap Selatan Air PDAM Sertifikat SHM  ✨ Rumah luas dengan banyak kamar mandi, cocok untuk keluarga besar dan siap dihuni. Hubungi kami untuk info lengkap dan jadwal survey.  #13ES",14000000000.0,159.0,186.0,3.0,4.0
Rumah Minimalis Bumi Panyileukan - Bandung,"Rp 1,6 Miliar","panyileukan, Bandung",86 m²,306 m²,4.0,3.0,SHM,Lainnya,1.0,3.0,"DIJUAL RUMAH BUMI PANYILEUKAN - BANDUNG (2) Perumahan Bumi Panyileukan - Soekarno Hatta Rumah 3 lantai siap huni, kualitas bangunan bagus.  Lt. 86 m2 Lb. 306 m2 3 lantai (Lantai atas jemuran tertutup) 4 k.tidur 3 k.mandi 1 Carport Posisi Hook Rumah hadap Timur sumur bor/sible listrik 2200 watt  5 mnt ke kampus Muhamadiyah, UIN 2 Gunung Jati 10 mnt ke stasiun KA Gedebage 13 mnt ke Sumarecon Mall 13 mnt ke stasiun Woosh Tegal Luar 14 mnt Gerbang tol Gedebage  HARGA : 1,6 M (nego)  Hub : Agung ERA INNO 0852xxxxxxxx",16000000000.0,86.0,306.0,4.0,3.0
Jual Rumah Mewah Lokasi Komplek Elit Tamansari Bukit Bandung,"Rp 3,4 Miliar","Mandalajati, Bandung",233 m²,400 m²,4.0,3.0,SHM,Lainnya,1.0,2.0,"Bismillah Dijual Rumah LUX SIAP HUNI  LOKASI KOMPLEK CLUSTER ELIT BANDUNG TIMUR  Bangunan baru thn 2021  Posisi hoek Timur - Utara Luas tanah 232m Bangunan 2.5 lantai plus rooftop  Luas bngunan +/- 400 m Kamar tidur utama 1 + (wardrobe + 1 kamar mandi, kolam mini ukuran 2mx4m) Kamar tidur anak 3 + 1 Kamar mandi 3 Basement muat 1 pajero longgar  Kamar tidur sopir + kamar mandi   SHM, IMB dan PBB lengkap Buka Harga 3,4M NEGO  Security aman 24 jam non stop Lingkungan nyaman asri hijau Strategis gerbang langsung jalan raya Bangunan bagus mewah sap huni, ada kolam renang mini",34000000000.0,233.0,400.0,4.0,3.0
Turun Harga ! Rumah Bagus Area Cluster di Komplek Sumber Sari Pasir Koja Bandung,"Rp 3,5 Miliar","Babakan Ciparay, Bandung",215 m²,615 m²,5.0,7.0,SHM,5500 Watt,1.0,3.0,"TURUN HARGA !!!   Rumah Cluster di Area Komplek Sumber Sari, Pasir Koja. Bangunan baru beres renovasi Mei 2024.. Cocok untuk rumah tinggal, atau investasi kost-kost an (total kamar ada 11) tinggal d renovasi sedkit lg bs 30 kamar dalam serumah..   Sudah d appraisal bank bulan juni 2024 d angka 3.935M ( 4M kurang sedikit ).. kemungkinan besar bs naik lagi dan mungkin bs beli rumah dg tanpa dp...   D bantu KPR sampai akad..   Detail : 1. LT 205 m2 2. LB 615 m2 ( 3 Lantai ) 3. Kamar Tidur ada 5 + kmr pmbantu 1 4. Kamar mandi 6 5. Berada di area Cluster hanya 10 rmh 6. Air summersible ( ga pernah kering ) 7. Listrik B1 5500 watt (Murah banget) 8. Lantai 3 bisa d pakai kantor ( ada ruang meeting, studio foto, live studio streaming, ruang kantor 3 & ada rooftopnya ) 9. Carport muat 2 mobil + garasi 1 mobil 10. Lokasi dekat ke supermaket, tol pasir koja, mall, rmh sakit, kantor polisi 11. Bangunan baru bres renovasi Mei 2024 12. Ac tiap kamar 13. Lingkungan aman dan nyaman 14. Cocok untuk kost-kost an juga..  Selebihnya bisa lihat-lihat dl ke lokasi..   Harga sekarang  : 3.5 Milyar (nego sampai jadi) Lokasi d Komplek Sumber Sari Pasir Koja Bandung",35000000000.0,215.0,615.0,5.0,7.0
* Flash Sale Rumah Baru di Tki 2 Bandung *,"Rp 1,2 Miliar","Taman Kopo Indah, Bandung",104 m²,105 m²,3.0,2.0,SHM,Lainnya,,2.0,"*JUAL CEPAT RUMAH BARU di TKI 2*--> Ready  SPEK : - Design Minimalis - Lt 104 m² - Lb 105 m² - Lebar x Panjang (6,5m x16m) - 2 lantai - 3 Bedrooms - 2 Bathrooms - Hadap Timur - Sumur bor sible - Kwh kiri 2200 kwh kanan 7700 - Carport Besar  2 mobil 2 motor - Sanitary all toto - Toren bawah, Toren atas, Septictank - Smartlock key - Pintu kayu rangka solid wood - Handle by paloma black coated - Aluminium window by Aleksindo  *Harga 1.2M* nett* ME",12000000000.0,104.0,105.0,3.0,2.0
"Rumah Mewah Luas Bangunan 350 di Batununggal Indah Estate Harga 4,3 Milyar","Rp 4,3 Miliar","Batununggal, Bandung",262 m²,350 m²,4.0,5.0,SHM,Lainnya,,1.0,"Dijual Rumah Luas Bangunan 350 di Batununggal Indah Estate 4,3 Milyar  Spesifikasi :  Bangunan 2 Lantai  Luas Tanah 262 m2  Luas Bangunan 350 m2  Kamar Tidur 3+1 (Semua kamar tidur terdapat kamar mandi dalam)  Kamar Mandi 4+1 Dapur + Ruang makan Ruang Tamu & Ruang Keluarga  Halaman Depan & Belakang yang sangat Luas  Listrik 4400 watt  Air Submersible  Water Heater Solahart Carport  Garasi Legalitas SHM & IMB One Gate system   FREE :  *Kitchen Set  *AC semua kamar & ruang tamu  *Water Heater Solahart  Harga 4,3 Milyar",43000000000.0,262.0,350.0,4.0,5.0
Dijual Rumah bisa Kantor Tempat Usaha di Dadali Rajawali,"Rp 3,6 Miliar","Dadali, Bandung",219 m²,150 m²,3.0,2.0,SHM,2200 Watt,1.0,2.0,"*DIJUAL*  Rumah Furnished - Cocok Bisa Ruang Usaha / Kantor  Kodya Bandung Kompleks Dadali Bangunan sudah renov  Akses Garuda, Rajawali, Maleber, Cibeureum  LT 220m² LB ±150m² Taman Depan Belakang Luas 3 + 2KT 1 + 1KM Dapur Garasi 1 mobil Carport 4 mobil 2200W + 7700W Sumur Pompa- Air bagus & banyak Toren + Solarhart + Pompa Dorong Hadap Timur SHM  Harga 3.6 M   Edo - Maxpro 0877xxxxxxxx",36000000000.0,219.0,150.0,3.0,2.0
"Rumah Villa Mewah Cantik di Sersan Bajuri Lembang Bandung LB 350 Harga 4,4 Milyar","Rp 4,4 Miliar","Setiabudi, Bandung",225 m²,350 m²,4.0,5.0,SHM,Lainnya,,1.0,"Rumah Villa Mewah Cantik Di Sersan Bajuri Lembang Bandung LB 350 Harga 4,4 Milyar   Spesifikasi : Bangunan 2 Lantai Luas tanah 225m Luas bangunan 350m Listrik 10.600 Air artesis 4 kamar besar 5 kamar mandi Ada deck teras Kolam renang anak& dewasa Water heater Halaman (fasum komplek) Udara sejuk cenderung dingin pagi siang malam.  Terletak didalam komplek villa.   Harga 4,4 Milyar",44000000000.0,225.0,350.0,4.0,5.0
